f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,label,frame
0.4742665,0.43629494,0.0027664874,-0.003205043,0.0042338814,1.9365724e-10,0.07544055,0.16876571,0.0055963593,1.0,0.0055963593,0.22716483,197.14627,1.0,0.22789907,0.17259492,0.12367587,0.07671452,0.025733512,0.06370504,4.0,1.0,0.45855257,0.36655566,-0.0030168318,-0.004921703,0.010629505,0.0004874342,0.1360628,0.21965508,0.042332835,0.7804878,0.06687725,0.1810708,276.06897,0.5609756,0.22450095,0.1683938,0.11408207,0.12245169,0.05678085,0.13344428,3.9756098,1.4634147,0.06385279,0.08822795,0.010645311,0.0071559963,0.009212438,0.0028118293,0.09835233,0.108458735,0.048019335,0.41391617,0.09006792,0.054340784,328.5573,0.49626794,0.008915344,0.0332975,0.0049431925,0.052529134,0.05070509,0.08822795,1.1993455,0.7993156,-0.17548546,-0.18759122,-0.021643976,0.0061261,0.019984799,-0.0010541653,0.25861165,0.33749253,0.11991616,-1.0,0.24337417,-0.10604514,-451.0782,-1.0,-0.008069932,-0.09134063,-0.01170367,0.09666767,0.17548543,0.18759122,0.0,-2.0,pass,82
0.5042275,0.27532518,-0.0066362335,-0.016687404,0.017958539,-7.403258e-10,0.22840354,0.29633743,0.113521665,1.0,0.113521665,0.12484067,0.0,0.0,0.22316073,0.13718481,0.112925254,0.19102003,0.004227533,0.2246748,5.0,3.0,0.41856188,0.32282954,-0.0033504106,-0.0043459395,0.013023361,0.0001179828,0.2044239,0.29860452,0.07360736,0.5365854,0.12478241,0.15738496,142.47797,0.31707317,0.20982464,0.14590319,0.10361498,0.144498,0.09677144,0.17717047,3.5365853,1.0,0.09585404,0.08864696,0.012191214,0.0076743853,0.008247816,0.004287391,0.112115666,0.12967114,0.054245714,0.4986597,0.10504584,0.051093798,284.5669,0.46533623,0.036226146,0.021690676,0.023368176,0.04976284,0.08034577,0.08864696,1.7819906,0.9370426,-0.12700626,-0.17589468,0.0049062995,0.0010482622,0.005015008,0.00017771366,0.300554,0.26929694,0.11193413,-1.0,0.2518804,-0.11640851,-1030.8002,-1.0,-0.12549043,-0.05680497,-0.07050891,0.09181317,0.12700626,0.17589468,-3.0,-1.0,ball_loss,92
0.4266143,0.27314463,-0.0070928456,-0.003327679,0.007834661,-2.950841e-10,0.20792468,0.3541325,0.08483679,0.0,0.15954097,0.08483679,11.787339,0.0,0.22195312,0.13648045,0.05855111,0.15597843,0.07338569,0.22685535,4.0,0.0,0.45851436,0.28956884,-0.0022207303,-0.0010077219,0.004088805,-0.00018347915,0.18408535,0.32664144,0.042910915,0.34146342,0.096068904,0.06516719,281.81567,0.58536583,0.2207448,0.12956542,0.06866758,0.15450446,0.055505253,0.21043113,3.9268293,0.5609756,0.045727443,0.021156808,0.003932798,0.0019319415,0.0029031234,0.0008394327,0.021996453,0.034722466,0.059874803,0.47420055,0.08153926,0.05213025,343.10968,0.4926589,0.0314429,0.02214983,0.022913914,0.008525284,0.027041106,0.02115681,1.5986313,0.76664555,-0.10784027,-0.049640894,-0.005109153,-0.002509563,-0.005215283,0.002307361,-0.026414812,-0.026379436,-0.2637339,1.0,-0.31331554,-0.20528412,662.45245,1.0,-0.1695655,-0.07966867,0.061266344,0.00038909912,0.052240245,0.04964091,4.0,-1.0,duel,173
0.4116562,0.29373732,-0.0017438104,0.0053373305,0.0056149773,-3.4730652e-11,0.15970924,0.2961897,0.016080417,1.0,0.016080417,0.026545454,99.85868,2.0,0.18629654,0.1367913,0.09132022,0.100926615,0.088343814,0.20626266,5.0,1.0,0.3933039,0.32790306,-0.0009787543,0.002269728,0.005477064,0.00035686445,0.1647417,0.29906642,0.022061497,0.80487806,0.0290584,0.05777787,344.60043,0.70731705,0.18981822,0.13682829,0.10549757,0.10235091,0.10669613,0.17209692,5.243902,0.5365854,0.025505716,0.060053427,0.0030489885,0.0069373148,0.0057908595,0.0024997594,0.009905727,0.0075560245,0.022352297,0.39629453,0.029500052,0.030056717,410.74472,0.5518882,0.012567997,0.0024414645,0.015357398,0.0018961608,0.025505718,0.06005343,0.65445894,0.4986597,-0.02443406,0.062266737,0.006712239,-0.013168061,0.014631444,0.0054221028,0.011283949,-0.0106699765,0.01739487,-1.0,0.059929494,-0.025232274,-951.3482,0.0,0.030217052,0.0068925023,0.031041458,-0.00060373545,0.024434067,-0.062266737,-1.0,-1.0,duel,298
0.375,0.3743,-0.0077844383,0.016805373,0.018520746,0.0071078185,0.1315356,0.29377386,0.06220265,0.0,0.08680426,0.06220265,27.596657,0.0,0.18632807,0.13824044,0.092264816,0.10164113,0.125,0.1257,5.0,0.0,0.39311725,0.3343712,-8.18881e-05,0.0015142015,0.006759776,0.00019045969,0.16237904,0.29573396,0.024265371,0.68292683,0.03487364,0.05480555,233.63556,0.68292683,0.19194701,0.13769047,0.10680319,0.102146395,0.10688277,0.16562882,5.195122,0.5121951,0.02568424,0.056968868,0.0040965816,0.007714938,0.005736475,0.0027354548,0.01601594,0.011425715,0.021203462,0.46533623,0.028179804,0.032622218,327.163,0.5604451,0.0120713245,0.002232584,0.015863614,0.0020121555,0.02568424,0.056968864,0.6332076,0.4998512,0.014772207,0.058483064,0.0077542565,-0.0015268092,0.007808849,1.3082281e-10,-0.047363535,-0.045428306,0.031189185,-1.0,0.05549236,-0.011239752,-947.4824,-1.0,0.00865075,0.006946638,-0.003057018,-0.0024719313,-0.014772184,-0.05848305,0.0,0.0,duel,303
0.3683,0.3787,0.0025927215,-0.008914289,0.009283682,0.0059639374,0.16883366,0.2986114,0.06490093,0.0,0.0828553,0.06490093,27.477335,0.0,0.20605186,0.1399875,0.1250205,0.101098344,0.1317,0.1213,5.0,0.0,0.39632118,0.3532615,0.00028550407,0.0016304618,0.0072401753,1.1149185e-07,0.14466606,0.28016773,0.03430744,0.3902439,0.051634528,0.052482966,70.9359,0.4390244,0.19223845,0.1387172,0.10563788,0.101181045,0.10367883,0.14673845,5.3170733,0.5121951,0.028847925,0.04272833,0.004309064,0.0076890355,0.005292359,0.0028211589,0.028944366,0.023151184,0.016698206,0.4878049,0.020106284,0.033677727,38.640934,0.58638114,0.012005639,0.0013411466,0.016742514,0.0022990308,0.02884793,0.042728327,0.713597,0.49985117,0.010370672,0.07365933,5.4385397e-05,0.0023930073,4.570931e-06,-4.1351277e-11,-0.08062688,-0.050559863,0.039431322,-1.0,0.048696604,-0.0023759976,-45.198784,-1.0,-0.012520254,0.0001423657,0.0010813102,-0.01036641,-0.010370664,-0.073659316,0.0,0.0,duel,315
0.40876162,0.36251664,-0.004438372,0.005216631,0.0068492615,1.3156963e-10,0.09732124,0.24433148,0.042933058,0.0,0.056734666,0.042933058,66.56081,0.0,0.18363005,0.1350591,0.09021817,0.09616167,0.09123837,0.13748337,6.0,1.0,0.4886939,0.35090834,0.008227196,-0.00017066947,0.010316172,0.0001635275,0.14028448,0.21828659,0.036852274,0.29268292,0.054534644,0.05115558,69.75113,0.2195122,0.19078192,0.13782853,0.09884179,0.1032005,0.09574112,0.14909174,7.609756,2.0,0.108116895,0.01767983,0.008614833,0.004860028,0.0076894523,0.002790651,0.05575489,0.052475844,0.0125516215,0.4549941,0.016118608,0.030718481,26.899446,0.41391632,0.015075971,0.0024850222,0.014072973,0.00905742,0.05148525,0.01767983,2.5650375,1.7943,0.35541457,0.048728555,0.008868104,0.020062177,0.006704623,-0.0045912093,0.0972603,-0.12614883,-0.014958214,0.0,-0.052783344,-0.014958214,51.54357,0.0,0.017022088,0.0021929443,-0.002349615,0.017882638,0.10238545,-0.048728578,8.0,6.0,duel,337
0.42497617,0.35938168,0.002376163,0.0008816631,0.0025344584,2.4799348e-11,0.08858282,0.2269932,0.046621133,1.0,0.046621133,0.057094257,69.63581,0.0,0.18345661,0.13414581,0.08949813,0.095603265,0.07502384,0.14061834,6.0,1.0,0.5145235,0.35771015,0.008406867,0.0015524451,0.010475246,-3.5733367e-05,0.14498833,0.20952785,0.036016297,0.34146342,0.05120795,0.05084828,76.192184,0.29268292,0.18994015,0.13804974,0.098772116,0.10450181,0.10496422,0.14228994,8.170732,2.512195,0.12191438,0.02759997,0.008677424,0.004611086,0.0077404417,0.0026981977,0.061126675,0.048827555,0.013033277,0.47420055,0.017817758,0.030718237,38.87954,0.5518882,0.014492954,0.0027782721,0.013955481,0.009931078,0.06369113,0.027599972,2.7665462,2.1313221,0.32334146,0.13820285,-0.0062831896,0.026336217,-0.001465071,-0.0027475904,0.03786415,-0.13534556,-0.0057976563,0.0,-0.00021317229,-0.0057976563,106.18976,0.0,-0.0109529495,0.0034620017,-0.0021511018,0.018029325,0.12945855,-0.13820286,8.0,5.0,short_pass,340
0.5279558,0.3618718,0.019055761,0.0036718166,0.019406294,6.2649624e-10,0.10717167,0.13783443,0.051666547,1.0,0.051666547,0.13853599,51.248333,0.0,0.1879958,0.13452655,0.090050705,0.09627788,0.027955761,0.13812818,8.0,2.0,0.56005484,0.37730423,0.007596069,0.002948939,0.010474618,-3.2590724e-05,0.16044255,0.19446082,0.03456261,0.34146342,0.048763752,0.0493946,88.18581,0.4390244,0.1913331,0.13899009,0.10264113,0.10706354,0.12718791,0.122695856,9.219512,3.317073,0.1355418,0.0449672,0.009068974,0.004640929,0.007775823,0.0027132079,0.067255326,0.04429139,0.014255893,0.47420055,0.018144174,0.031938948,50.50905,0.70013165,0.014433775,0.004143365,0.01564912,0.01065204,0.07616689,0.044967204,3.02439,2.433897,0.2921364,0.113778025,-0.006308832,-0.002964638,-0.0013362225,-0.0026504865,0.1263639,-0.08416812,-0.031642824,0.0,-0.030762423,-0.031642824,120.11401,1.0,0.015808225,0.008778736,0.035407975,0.018207565,0.16226359,-0.11377803,6.0,5.0,pass,346
0.5971256,0.3629872,0.021825576,0.0013871817,0.021869615,-4.821192e-12,0.16729583,0.12884708,0.029878756,1.0,0.029878756,0.06872211,60.53617,0.0,0.18942021,0.1379531,0.090081215,0.12043617,0.097125575,0.13701282,10.0,4.0,0.58221644,0.38549897,0.00750302,0.0028163574,0.010490506,2.7026697e-06,0.16973747,0.18753104,0.033140372,0.34146342,0.046867717,0.047972362,94.866165,0.4878049,0.19259961,0.13968565,0.10523894,0.10823749,0.13829058,0.114501044,9.682927,3.7317073,0.13630222,0.047302842,0.009123932,0.004761478,0.0077520506,0.002680825,0.0689024,0.04142142,0.015195999,0.47420055,0.018126369,0.03301475,54.232193,0.7026761,0.014523871,0.004827356,0.016282247,0.010628421,0.078826055,0.047302846,3.0318549,2.4892392,0.31564364,0.116037816,0.002849117,0.00021353622,0.00011080946,-0.0017660658,0.13865343,-0.0896827,-0.016964905,0.0,-0.026819767,-0.016964905,90.81977,0.0,0.018403381,0.012657508,0.03793747,0.018494003,0.14975637,-0.1160378,6.0,6.0,duel,349
